Item,Calendar Year,State,Services,Total per Item-Year
91801,2020,NSW,0,0
91801,2020,VIC,0,0
91801,2020,QLD,0,0
91801,2020,SA,0,0
91801,2020,WA,0,0
91801,2020,TAS,0,0
91801,2020,ACT,0,0
91801,2020,NT,0,0
91801,2021,NSW,107824,215060
91801,2021,VIC,63048,215060
91801,2021,QLD,21872,215060
91801,2021,SA,7106,215060
91801,2021,WA,8353,215060
91801,2021,TAS,1319,215060
91801,2021,ACT,4549,215060
91801,2021,NT,989,215060
91801,2022,NSW,120327,289087
91801,2022,VIC,77073,289087
91801,2022,QLD,42891,289087
91801,2022,SA,20249,289087
91801,2022,WA,19153,289087
91801,2022,TAS,2567,289087
91801,2022,ACT,5131,289087
91801,2022,NT,1696,289087
91801,2023,NSW,80449,203816
91801,2023,VIC,68142,203816
91801,2023,QLD,25074,203816
91801,2023,SA,13399,203816
91801,2023,WA,9980,203816
91801,2023,TAS,1047,203816
91801,2023,ACT,3745,203816
91801,2023,NT,1980,203816
91801,2024,NSW,77396,213752
91801,2024,VIC,72918,213752
91801,2024,QLD,32944,213752
91801,2024,SA,12070,213752
91801,2024,WA,10822,213752
91801,2024,TAS,1532,213752
91801,2024,ACT,4223,213752
91801,2024,NT,1847,213752
91891,2020,NSW,6439509,16402165
91891,2020,VIC,5532548,16402165
91891,2020,QLD,2238982,16402165
91891,2020,SA,932845,16402165
91891,2020,WA,771273,16402165
91891,2020,TAS,194367,16402165
91891,2020,ACT,231395,16402165
91891,2020,NT,61246,16402165
91891,2022,NSW,9787569,30021241
91891,2022,VIC,9578656,30021241
91891,2022,QLD,5244885,30021241
91891,2022,SA,2232912,30021241
91891,2022,WA,2214806,30021241
91891,2022,TAS,489601,30021241
91891,2022,ACT,343751,30021241
91891,2022,NT,129061,30021241
91891,2023,NSW,7334244,22587190
91891,2023,VIC,7353416,22587190
91891,2023,QLD,3936988,22587190
91891,2023,SA,1618905,22587190
91891,2023,WA,1646461,22587190
91891,2023,TAS,363598,22587190
91891,2023,ACT,240595,22587190
91891,2023,NT,92983,22587190
91891,2024,NSW,7060295,21478504
91891,2024,VIC,6919294,21478504
91891,2024,QLD,3817835,21478504
91891,2024,SA,1509125,21478504
91891,2024,WA,1510109,21478504
91891,2024,TAS,332033,21478504
91891,2024,ACT,231363,21478504
91891,2024,NT,98450,21478504
91900,2020,NSW,2388,5952
91900,2020,VIC,1621,5952
91900,2020,QLD,1016,5952
91900,2020,SA,482,5952
91900,2020,WA,305,5952
91900,2020,TAS,90,5952
91900,2020,ACT,36,5952
91900,2020,NT,14,5952
91900,2024,NSW,37532,102986
91900,2024,VIC,29048,102986
91900,2024,QLD,19335,102986
91900,2024,SA,8589,102986
91900,2024,WA,5709,102986
91900,2024,TAS,1644,102986
91900,2024,ACT,892,102986
91900,2024,NT,237,102986
