Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",PRT,Portugal,All individuals aged 18 or older,Share of each demographic group,65.00624101
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",PRT,Portugal,Individuals aged 18-34,Share of each demographic group,56.68452144
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",PRT,Portugal,Individuals aged 35-54,Share of each demographic group,64.30817408
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",PRT,Portugal,Individuals aged 55 or older,Share of each demographic group,70.3762608
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FRA,France,All individuals aged 18 or older,Share of each demographic group,64.35190031
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FRA,France,Individuals aged 18-34,Share of each demographic group,61.31268785
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FRA,France,Individuals aged 35-54,Share of each demographic group,59.23105689
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FRA,France,Individuals aged 55 or older,Share of each demographic group,70.08773496
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",COL,Colombia,All individuals aged 18 or older,Share of each demographic group,64.32429624
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",COL,Colombia,Individuals aged 18-34,Share of each demographic group,54.64271206
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",COL,Colombia,Individuals aged 35-54,Share of each demographic group,67.4182186
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",COL,Colombia,Individuals aged 55 or older,Share of each demographic group,75.18778197
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",AUS,Australia,All individuals aged 18 or older,Share of each demographic group,63.54293723
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",AUS,Australia,Individuals aged 18-34,Share of each demographic group,60.09958919
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",AUS,Australia,Individuals aged 35-54,Share of each demographic group,61.02564571
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",AUS,Australia,Individuals aged 55 or older,Share of each demographic group,69.15693585
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BRA,Brazil,All individuals aged 18 or older,Share of each demographic group,62.48864978
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BRA,Brazil,Individuals aged 18-34,Share of each demographic group,54.83265265
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BRA,Brazil,Individuals aged 35-54,Share of each demographic group,65.79621227
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BRA,Brazil,Individuals aged 55 or older,Share of each demographic group,68.78009503
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",USA,United States,All individuals aged 18 or older,Share of each demographic group,61.18311523
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",USA,United States,Individuals aged 18-34,Share of each demographic group,60.64515369
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",USA,United States,Individuals aged 35-54,Share of each demographic group,55.16271645
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",USA,United States,Individuals aged 55 or older,Share of each demographic group,65.70228223
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",LUX,Luxembourg,All individuals aged 18 or older,Share of each demographic group,61.1824625
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",LUX,Luxembourg,Individuals aged 18-34,Share of each demographic group,50.09134953
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",LUX,Luxembourg,Individuals aged 35-54,Share of each demographic group,61.22478153
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",LUX,Luxembourg,Individuals aged 55 or older,Share of each demographic group,70.85599528
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CAN,Canada,All individuals aged 18 or older,Share of each demographic group,60.65872413
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CAN,Canada,Individuals aged 18-34,Share of each demographic group,53.91535166
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CAN,Canada,Individuals aged 35-54,Share of each demographic group,60.45180479
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CAN,Canada,Individuals aged 55 or older,Share of each demographic group,65.10918918
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",MEX,Mexico,All individuals aged 18 or older,Share of each demographic group,59.17510372
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",MEX,Mexico,Individuals aged 18-34,Share of each demographic group,53.50774995
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",MEX,Mexico,Individuals aged 35-54,Share of each demographic group,62.11617276
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",MEX,Mexico,Individuals aged 55 or older,Share of each demographic group,64.59440645
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FIN,Finland,All individuals aged 18 or older,Share of each demographic group,58.64155966
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FIN,Finland,Individuals aged 18-34,Share of each demographic group,53.93717832
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FIN,Finland,Individuals aged 35-54,Share of each demographic group,56.06949111
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",FIN,Finland,Individuals aged 55 or older,Share of each demographic group,63.08751574
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",GBR,United Kingdom,All individuals aged 18 or older,Share of each demographic group,58.5538884
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",GBR,United Kingdom,Individuals aged 18-34,Share of each demographic group,55.7742453
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",GBR,United Kingdom,Individuals aged 35-54,Share of each demographic group,54.53496494
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",GBR,United Kingdom,Individuals aged 55 or older,Share of each demographic group,64.64405793
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",IRL,Ireland,All individuals aged 18 or older,Share of each demographic group,57.05917413
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",IRL,Ireland,Individuals aged 18-34,Share of each demographic group,53.28170509
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",IRL,Ireland,Individuals aged 35-54,Share of each demographic group,55.60325816
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",IRL,Ireland,Individuals aged 55 or older,Share of each demographic group,62.13041724
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BEL,Belgium,All individuals aged 18 or older,Share of each demographic group,56.91621393
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BEL,Belgium,Individuals aged 18-34,Share of each demographic group,46.14538347
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BEL,Belgium,Individuals aged 35-54,Share of each demographic group,52.77054751
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",BEL,Belgium,Individuals aged 55 or older,Share of each demographic group,67.38117918
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",POL,Poland,All individuals aged 18 or older,Share of each demographic group,55.50209865
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",POL,Poland,Individuals aged 18-34,Share of each demographic group,52.66937132
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",POL,Poland,Individuals aged 35-54,Share of each demographic group,51.8595859
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",POL,Poland,Individuals aged 55 or older,Share of each demographic group,60.77168657
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",ESP,Spain,All individuals aged 18 or older,Share of each demographic group,55.04005859
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",ESP,Spain,Individuals aged 18-34,Share of each demographic group,48.22550545
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",ESP,Spain,Individuals aged 35-54,Share of each demographic group,51.72933062
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",ESP,Spain,Individuals aged 55 or older,Share of each demographic group,62.23083012
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",DEU,Germany,All individuals aged 18 or older,Share of each demographic group,52.63036301
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",DEU,Germany,Individuals aged 18-34,Share of each demographic group,44.737269
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",DEU,Germany,Individuals aged 35-54,Share of each demographic group,47.86853897
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",DEU,Germany,Individuals aged 55 or older,Share of each demographic group,60.39883177
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CHE,Switzerland,All individuals aged 18 or older,Share of each demographic group,50.7858646
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CHE,Switzerland,Individuals aged 18-34,Share of each demographic group,41.65700904
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CHE,Switzerland,Individuals aged 35-54,Share of each demographic group,49.67938761
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",CHE,Switzerland,Individuals aged 55 or older,Share of each demographic group,57.86602399
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NLD,Netherlands,All individuals aged 18 or older,Share of each demographic group,49.07619115
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NLD,Netherlands,Individuals aged 18-34,Share of each demographic group,42.11884067
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NLD,Netherlands,Individuals aged 35-54,Share of each demographic group,47.47169112
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NLD,Netherlands,Individuals aged 55 or older,Share of each demographic group,54.78309815
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NOR,Norway,All individuals aged 18 or older,Share of each demographic group,47.49677025
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NOR,Norway,Individuals aged 18-34,Share of each demographic group,42.84611513
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NOR,Norway,Individuals aged 35-54,Share of each demographic group,45.51529373
2024,"Share of adults who avoid using certain websites, apps, or social media due to privacy concerns",NOR,Norway,Individuals aged 55 or older,Share of each demographic group,52.68130637
